ID;Standort-Nr;Baumhoehe_akt_m;Stammanzahl_akt_anz;Stammdurchmesser_akt_cm;Stammumfang_akt_cm;Kronendurchmesser_akt_cm;Pflanzjahr;Standalter_geschaetzt_jahr;ref_Baumart;ref_Baumart_botanisch;gis_komplex_UTM;ref_Objekt_Name;ref_Objekt_stat_Bezirk;ref_Objekt_Number;ref_Objekt_Name_Number
00008100:000dced2;12;20,43;;;;5,85;;;Unbekannt;Unbekannt;POINT (404868.8729 5755154.8622);VG GUT INSEL;32;53233;20 53233 VG GUT INSEL
00008100:000dcede;5;7,99;1;25;78,54;7;2002;21;Holzapfel;Malus sylvestris;POINT (404748.6122 5755022.3495);�G STADTPARK GUT INSEL;32;13206;20 13206 �G STADTPARK GUT INSEL
00008100:000dcedf;3;5,7;;;;3,32;1962;61;Robinie;Robinia pseudoacacia*;POINT(404854.6560552700539119541645050048828125 5755140.00106325559318065643310546875);�G INSELGARTEN;32;13207;20 13207 �G INSELGARTEN
00008100:000dceee;14;8,49;1;21,33;67;4;2002;21;Mehlbeere;Sorbus spec.;POINT (404915.7567 5755018.2636);VG HABICHTSH�HE;32;53235;20 53235 VG HABICHTSH�HE
00008100:000dcef8;10;15;1;33,42;105;10;1987;36;Vogel-Kirsche;Prunus avium ;POINT (404862.3876 5755011.9198);�G STADTPARK GUT INSEL;32;13206;20 13206 �G STADTPARK GUT INSEL
00008100:000dcefe;1;15,3;1;70;219,91;7,92;1977;46;Spitz-Ahorn;Acer platanoides*;POINT (404691.6962 5755089.6278);�G STADTPARK GUT INSEL;32;13206;20 13206 �G STADTPARK GUT INSEL
00008100:000dcf10;30;1;1;0;1;1;2021;2;;Standort ohne Baum;POINT (404666.7655 5755808.3);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dcf16;204;17,83;;;;6,02;;;Unbekannt;Unbekannt;POINT (404755.7362 5755764.204);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dcf18;201;17,1;;;;7,37;;;Unbekannt;Unbekannt;POINT (404754.9882 5755771.4667);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dcf22;15;8,31;;;;3,5;;;Unbekannt;Unbekannt;POINT (404657.2538 5755130.6913);MATTHIAS-CLAUDIUS-SCHULE, GUT INSEL 36;32;63201;20 63201 MATTHIAS-CLAUDIUS-SCHULE, GUT INSEL 36
00008100:000dcf30;19;8,5;1;21,65;68;5;1997;26;Spitz-Ahorn;Acer platanoides*;POINT (404631.2606 5755160.5106);MATTHIAS-CLAUDIUS-SCHULE, GUT INSEL 36;32;63201;20 63201 MATTHIAS-CLAUDIUS-SCHULE, GUT INSEL 36
00008100:000dcf4d;64;7,83;3;15;47,12;3,34;2002;21;Korb-Weide;Salix viminalis ;POINT (404699.3641 5755048.8514);�G STADTPARK GUT INSEL;32;13206;20 13206 �G STADTPARK GUT INSEL
00008100:000dcf5c;38;12,23;1;35;109,96;5,62;1992;31;Hainbuche;Carpinus betulus*;POINT(404612.4062219127663411200046539306640625 5755142.519082888029515743255615234375);MATTHIAS-CLAUDIUS-SCHULE, GUT INSEL 36;32;63201;20 63201 MATTHIAS-CLAUDIUS-SCHULE, GUT INSEL 36
00008100:000dcf5f;251;28,51;;;;10,15;;;Unbekannt;Unbekannt;POINT (404784.6796 5755946.495);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000ffd08;23;19;1;55;172,79;14;1977;46;Hainbuche;Carpinus betulus*;POINT(404472.7425918417866341769695281982421875 5754756.547983624972403049468994140625);VG OBERSCHLESIER STRASSE;32;53224;20 53224 VG OBERSCHLESIER STRASSE
00008100:000e030e;68;9,74;;47,75;150;4,09;1952;71;Schmalbl�ttrige Esche;Fraxinus angustifolia*;POINT (405150.9286 5754993.2958);VG ELS�SSER STRASSE;32;53228;20 53228 VG ELS�SSER STRASSE
00008100:000e0335;11;16;1;40;125,66;7;1982;41;H�nge-Birke, Wei�-Birke;Betula pendula*;POINT (405144.327 5754892.285);VG SAARBR�CKER STRASSE;32;53227;20 53227 VG SAARBR�CKER STRASSE
00008100:000e034b;79;8,21;;47,75;150;2,71;1952;71;Esche;Fraxinus spec.;POINT (405118.6346 5754854.2362);VG ELS�SSER STRASSE;32;53228;20 53228 VG ELS�SSER STRASSE
00008100:000e03a9;3;13,16;;31,83;100;4,27;1977;46;Hainbuche;Carpinus betulus*;POINT (405129.9315 5754812.37);VG PARKPLATZ + BR�CKENKOPF ELS�SSER STRASSE;32;53229;20 53229 VG PARKPLATZ + BR�CKENKOPF ELS�SSER STRASSE
00008100:000e031e;58;11,12;;;;4,19;;;Unbekannt;Unbekannt;POINT (405086.1932 5754981.7489);VG SAARBR�CKER STRASSE;32;53227;20 53227 VG SAARBR�CKER STRASSE
00008100:000e0b9c;1;14,52;1;74,8;235;5,37;1942;81;Ahornbl�ttrige Platane;Platanus acerifolia;POINT (405083.8749 5756113.5624);VG TURMSTRASSE;32;53204;20 53204 VG TURMSTRASSE
00008100:000e0ba7;10;21,86;;;;8,93;;;Unbekannt;Unbekannt;POINT (405133.746 5756073.58);VG AM WASSERTURM;32;53205;20 53205 VG AM WASSERTURM
00008100:000e0bac;33;9,44;;;;4,03;;;Unbekannt;Unbekannt;POINT (405179.7538 5756057.8866);VG AM WASSERTURM;32;53205;20 53205 VG AM WASSERTURM
00008100:000e0baf;30;12,32;;;;7,67;;;Unbekannt;Unbekannt;POINT (405167.8641 5756026.9208);VG AM WASSERTURM;32;53205;20 53205 VG AM WASSERTURM
00008100:000e0bca;17;20,64;;;;3,9;;;Unbekannt;Unbekannt;POINT (405042.4989 5756357.1805);VG PARKPLATZ WESELER STR. + DONDERS-RING;32;53201;20 53201 VG PARKPLATZ WESELER STR. + DONDERS-RING
00008100:000e0bce;14;11,7;;;;2,97;;;Unbekannt;Unbekannt;POINT (405074.8798 5756357.2919);VG PARKPLATZ WESELER STR. + DONDERS-RING;32;53201;20 53201 VG PARKPLATZ WESELER STR. + DONDERS-RING
00008100:000e0be5;40;12,29;;;;8,93;;;Unbekannt;Unbekannt;POINT (405148.8876 5756023.8475);VG AM WASSERTURM;32;53205;20 53205 VG AM WASSERTURM
00008100:000e0bf5;27;15,88;1;42,34;133;7,93;1982;41;Einblatt-Esche;Fraxinus excel. 'Diversifolia';POINT (405277.7968 5756272.7938);VG GEISTSTRASSE (WEST);32;53218;20 53218 VG GEISTSTRASSE (WEST)
00008100:000e0420;67;8,47;1;25,78;81;3,62;2002;21;Manna-Esche;Fraxinus ornus ;POINT (405139.4852 5754977.0761);VG ELS�SSER STRASSE;32;53228;20 53228 VG ELS�SSER STRASSE
00008100:000e0481;29;10,73;1;33,42;105;4,22;1987;36;Manna-Esche;Fraxinus ornus ;POINT (405110.5057 5754852.6923);VG ELS�SSER STRASSE;32;53228;20 53228 VG ELS�SSER STRASSE
00008100:000e04b2;12;16;1;55;172,79;9;1972;51;H�nge-Birke, Wei�-Birke;Betula pendula*;POINT (405146.5653 5754885.153);VG SAARBR�CKER STRASSE;32;53227;20 53227 VG SAARBR�CKER STRASSE
00008100:000e052b;29;5,88;;;;3,12;;;Unbekannt;Unbekannt;POINT (405356.8612 5754914.2714);VG GREVINGSTRASSE;32;53213;20 53213 VG GREVINGSTRASSE
00008100:000e053a;6;12,27;;50,93;160;4,49;1972;51;Feld-Ahorn;Acer campestre*;POINT (405135.8046 5754806.7089);VG PARKPLATZ + BR�CKENKOPF ELS�SSER STRASSE;32;53229;20 53229 VG PARKPLATZ + BR�CKENKOPF ELS�SSER STRASSE
00008100:000e0631;6;10,08;1;25,46;80;8,17;2002;21;Hainbuche;Carpinus betulus*;POINT(405417.3402884621755219995975494384765625 5754904.0594179369509220123291015625);VG RADWEG SAARBR�CKER STRASSE - HAMMER STRASSE;32;53246;20 53246 VG RADWEG SAARBR�CKER STRASSE - HAMMER STRASSE
00008100:000e0640;11;12,88;1;26,1;82;5,29;1997;26;Vogel-Kirsche;Prunus avium ;POINT(405412.596842978266067802906036376953125 5754914.910931545309722423553466796875);VG RADWEG SAARBR�CKER STRASSE - HAMMER STRASSE;32;53246;20 53246 VG RADWEG SAARBR�CKER STRASSE - HAMMER STRASSE
00008100:000e065a;13;8,99;;;;4,61;;;Unbekannt;Unbekannt;POINT (405439.1093 5754913.7538);VG RADWEG SAARBR�CKER STRASSE - HAMMER STRASSE;32;53246;20 53246 VG RADWEG SAARBR�CKER STRASSE - HAMMER STRASSE
00008100:000e0684;9;6,11;;;;2,77;;;Unbekannt;Unbekannt;POINT (405196.9882 5754979.6171);20-�. SPOA. BORRUSSIA 07,  GREVINGSTRASSE 32;32;93210;50 93210 20-�. SPOA. BORRUSSIA 07, GREVINGSTRASSE 32
00008100:000e0686;10;7,08;;;;4,64;;;Unbekannt;Unbekannt;POINT (405200.2655 5754996.3798);20-�. SPOA. BORRUSSIA 07,  GREVINGSTRASSE 32;32;93210;50 93210 20-�. SPOA. BORRUSSIA 07, GREVINGSTRASSE 32
00008100:000e068a;12;5,83;;;;2,99;;;Unbekannt;Unbekannt;POINT (405197.9335 5754982.3602);20-�. SPOA. BORRUSSIA 07,  GREVINGSTRASSE 32;32;93210;50 93210 20-�. SPOA. BORRUSSIA 07, GREVINGSTRASSE 32
00008100:000e091f;1;11;1;55;172;13;1922;101;Spitz-Ahorn;Acer platanoides*;POINT (405076.077 5755801.769);VG PRINZ-EUGEN-STRASSE;32;53216;20 53216 VG PRINZ-EUGEN-STRASSE
00008100:000e0929;28;12,76;1;39,79;125;4,72;1987;36;Baum-Hasel;Corylus colurna ;POINT (405381.4921 5755496.912);VG HAMMER STRASSE: StaB.32 -B�UME-;32;53255;20 53255 VG HAMMER STRASSE: StaB.32 -B�UME-
00008100:000e0a31;27;13,92;1;20,69;65;2,72;1997;26;Baum-Hasel;Corylus colurna ;POINT (405383.0604 5755462.8846);VG HAMMER STRASSE: StaB.32 -B�UME-;32;53255;20 53255 VG HAMMER STRASSE: StaB.32 -B�UME-
00008100:000e0a35;29;15,27;1;46,47;146;6,07;1987;36;Winter-Linde;Tilia cordata*;POINT (405272.9403 5755314.8241);VG METZER STRASSE;32;53221;20 53221 VG METZER STRASSE
00008100:000e0a47;3;14,47;;;;5,88;;;Unbekannt;Unbekannt;POINT (405311.0057 5755874.0643);VG PARKPLATZ SENTMARINGER WEG;32;53206;20 53206 VG PARKPLATZ SENTMARINGER WEG
00008100:000e0a4f;48;13;1;40;126;7;1942;81;Spitz-Ahorn;Acer platanoides*;POINT (405060.5145 5755789.67);VG SENTMARINGER WEG;32;53238;20 53238 VG SENTMARINGER WEG
00008100:000e0a60;17;23;1;101;317;15;1892;131;Gew�hnliche Platane;Platanus x hispanica ;POINT (405241.3759 5755409.189);VG STRASSBURGER WEG;32;53214;20 53214 VG STRASSBURGER WEG
00008100:000e0b31;17;21,7;;89,13;280;10,54;1922;101;Sommer-Linde;Tilia platyphyllos ;POINT (405271.7997 5755938.3983);VG PARKPLATZ SENTMARINGER WEG;32;53206;20 53206 VG PARKPLATZ SENTMARINGER WEG
00008100:000e0b4c;48;16,93;1;40,74;128;5,72;1987;36;Winter-Linde;Tilia cordata*;POINT (405196.8788 5755309.2889);VG METZER STRASSE;32;53221;20 53221 VG METZER STRASSE
00008100:000e0b64;13;3,84;;35,01;110;2,91;2010;13;Hainbuche;Carpinus betulus*;POINT (405225.3124 5755988.4452);SP STEVENINKSTRASSE;32;23210;20 23210 SP STEVENINKSTRASSE
00008100:000e0b71;23;11,83;1;66,85;210;5,69;1962;61;Robinie;Robinia pseudoacacia*;POINT (405193.3143 5756072.1386);VG AM WASSERTURM;32;53205;20 53205 VG AM WASSERTURM
00008100:000e0b8b;64;2;1;35,97;113;1;2017;6;Gemeine Eibe;Taxus baccata*;POINT (405181.2977 5756112.758);HITTORF-GYMNASIUM, PRINZ-EUGEN-STRASSE 27;32;63203;20 63203 HITTORF-GYMNASIUM, PRINZ-EUGEN-STRASSE 27
00008100:000e0bab;11;19,84;;;;7,37;;;Unbekannt;Unbekannt;POINT (405173.1884 5756057.0194);VG AM WASSERTURM;32;53205;20 53205 VG AM WASSERTURM
00008100:000e0bb5;35;10,82;1;30,24;95;6,62;2007;16;Hainbuche;Carpinus betulus*;POINT (405121.827 5756060.1659);VG AM WASSERTURM;32;53205;20 53205 VG AM WASSERTURM
00008100:000e0bc2;50;5;1;16,55;52;2;2002;21;Hainbuche;Carpinus betulus*;POINT (405061.0751 5756073.779);HITTORF-GYMNASIUM, PRINZ-EUGEN-STRASSE 27;32;63203;20 63203 HITTORF-GYMNASIUM, PRINZ-EUGEN-STRASSE 27
00008100:000e0bdf;23;17;1;63,34;199;14;1962;61;Hainbuche;Carpinus betulus*;POINT(405017.0574929201393388211727142333984375 5756033.827028098516166210174560546875);HITTORF-GYMNASIUM, PRINZ-EUGEN-STRASSE 27;32;63203;20 63203 HITTORF-GYMNASIUM, PRINZ-EUGEN-STRASSE 27
00008100:000e0bed;44;10,55;;;;5,34;;;Unbekannt;Unbekannt;POINT (405163.3632 5756011.868);VG AM WASSERTURM;32;53205;20 53205 VG AM WASSERTURM
00008100:000e0bf8;24;13,01;;;;5,78;;;Unbekannt;Unbekannt;POINT (405270.2987 5756292.5673);VG GEISTSTRASSE (WEST);32;53218;20 53218 VG GEISTSTRASSE (WEST)
00008100:000e0c87;25;7;1;23;71;6;1997;26;Spitz-Ahorn;Acer platanoides*;POINT (405000.0116 5756043.385);VG PRINZ-EUGEN-STRASSE;32;53216;20 53216 VG PRINZ-EUGEN-STRASSE
00008100:000e044e;24;4,64;;;;2,82;;;Unbekannt;Unbekannt;POINT (405351.2655 5754881.1376);VG RADWEG SAARBR�CKER STRASSE - HAMMER STRASSE;32;53246;20 53246 VG RADWEG SAARBR�CKER STRASSE - HAMMER STRASSE
00008100:000e04b1;72;13,74;;;;5,52;;;Unbekannt;Unbekannt;POINT (405216.8261 5754931.078);20-�. SPOA. BORRUSSIA 07,  GREVINGSTRASSE 32;32;93210;50 93210 20-�. SPOA. BORRUSSIA 07, GREVINGSTRASSE 32
