ID;Standort-Nr;Baumhoehe_akt_m;Stammanzahl_akt_anz;Stammdurchmesser_akt_cm;Stammumfang_akt_cm;Kronendurchmesser_akt_cm;Pflanzjahr;Standalter_geschaetzt_jahr;ref_Baumart;ref_Baumart_botanisch;gis_komplex_UTM;ref_Objekt_Name;ref_Objekt_stat_Bezirk;ref_Objekt_Number;ref_Objekt_Name_Number
00008100:000d0132;1;4;1;8,28;26;2;2020;3;Mehlbeere;Sorbus spec.;POINT(404875.40218807267956435680389404296875 5755263.986995930783450603485107421875);�G HABICHTSH�HE;32;13201;20 13201 �G HABICHTSH�HE
00008100:000d0138;51;5;1;9;28;2;2012;11;Rotdorn;Crataegus laevigata 'Paul's Scarlet' ;POINT (404887.389 5754897.588);VG SAARBR�CKER STRASSE;32;53227;20 53227 VG SAARBR�CKER STRASSE
00008100:000d0715;5;;;;;;;;Unbekannt;Unbekannt;POINT (405053.122 5754908.175);VG SAARBR�CKER STRASSE (BAUM-Objekt);32;53249;20 53249 VG SAARBR�CKER STRASSE (BAUM-Objekt)
00008100:000d0382;84;1;1;0;1;1;2021;1;;Standort ohne Baum;POINT (404732.475 5755664.186);VG SENTMARINGER WEG;32;53238;20 53238 VG SENTMARINGER WEG
00008100:000d010e;53;6;1;38;120;2;1972;51;Unbekannt;Unbekannt;POINT (404869.246 5754909.436);VG SAARBR�CKER STRASSE;32;53227;20 53227 VG SAARBR�CKER STRASSE
00008100:000d0130;3;7;1;14,96;47;5;2007;16;Mehlbeere;Sorbus spec.;POINT (404924.661 5755048.169);VG HABICHTSH�HE;32;53235;20 53235 VG HABICHTSH�HE
00008100:000d0686;2;;;;;;;;Unbekannt;Unbekannt;POINT (404922.51 5755246.91);�G METZER STRASSE;32;13204;20 13204 �G METZER STRASSE
00008100:000d0699;5;9;1;19,1;60;3;2002;21;Einblatt-Esche;Fraxinus excelsior f. diversifolia ;POINT (405051.491 5756364.202);VG PARKPLATZ WESELER STR. + DONDERS-RING;32;53201;20 53201 VG PARKPLATZ WESELER STR. + DONDERS-RING
00008100:000d03a5;1;;;;;;;;Unbekannt;Unbekannt;POINT (405344.489 5755720.918);VG W�RTHSTRASSE;32;53208;20 53208 VG W�RTHSTRASSE
00008100:000d03a6;1;6;1;11;34,56;2;2012;11;Hainbuche;Carpinus betulus*;POINT (404120.373 5754877.023);VG EIFELSTRASSE;32;53210;20 53210 VG EIFELSTRASSE
00008100:000d03a7;12;29;1;126;397;17;1862;161;Gew�hnliche Platane;Platanus x hispanica ;POINT (405264.2628 5755574.759);VG STRASSBURGER WEG;32;53214;20 53214 VG STRASSBURGER WEG
00008100:000d03a9;1;;;;;;;;Unbekannt;Unbekannt;POINT (405186.144 5755311.704);VG METZER STRASSE;32;53221;20 53221 VG METZER STRASSE
00008100:000d03b1;1;6;1;15;47,12;3,5;2002;21;Eberesche;Sorbus aucuparia ;POINT (404291.59 5755030.193);VG R�PINGSTRASSE;32;53225;20 53225 VG R�PINGSTRASSE
00008100:000d03c7;130;1;1;0;1;1;2021;2;;Standort ohne Baum;POINT (404949.444 5755739.205);VG SENTMARINGER WEG;32;53238;20 53238 VG SENTMARINGER WEG
00008100:000d0160;1;6;1;14,32;45;3;2012;11;Spitz-Ahorn;Acer platanoides*;POINT (404937.849 5756282.189);VG AM KRUG;32;53203;20 53203 VG AM KRUG
00008100:000d0169;8;8;1;17,51;55;3;2010;13;Spitz-Ahorn;Acer platanoides*;POINT (404941.319 5755244.836);VG METZER STRASSE;32;53221;20 53221 VG METZER STRASSE
00008100:000d0938;83;1;1;0;1;1;2021;1;;Standort ohne Baum;POINT (404783.086 5755650.052);VG SENTMARINGER WEG;32;53238;20 53238 VG SENTMARINGER WEG
00008100:000d0339;2;20;1;50;157,08;5;1987;36;Esche;Fraxinus spec.;POINT(404880.3188794911839067935943603515625 5755161.1860543377697467803955078125);VG GUT INSEL;32;53233;20 53233 VG GUT INSEL
00008100:000d033a;1;8;1;18;56,55;8;2002;21;Robinie;Robinia pseudoacacia*;POINT(404746.105275220237672328948974609375 5755324.144080817699432373046875);�G GR�NER GRUND;32;13202;20 13202 �G GR�NER GRUND
00008100:000d019d;3;22;1;98,68;310;17;1947;76;Gew�hnliche Platane;Platanus x hispanica ;POINT (405034.631 5756362.227);VG PARKPLATZ WESELER STR. + DONDERS-RING;32;53201;20 53201 VG PARKPLATZ WESELER STR. + DONDERS-RING
00008100:000d01c9;5;13;1;41;129;6;1972;51;Hainbuche;Carpinus betulus*;POINT (404350.762 5754750.161);VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.;32;53241;20 53241 VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.
00008100:000d0358;47;6;1;10;30;2;2012;11;Rotdorn;Crataegus laevigata 'Paul's Scarlet' ;POINT (404898.719 5754900.031);VG SAARBR�CKER STRASSE;32;53227;20 53227 VG SAARBR�CKER STRASSE
00008100:000d01da;1;;;;;;;;Baum-Hasel;Corylus colurna ;POINT (405414.308 5755322.457);VG HAMMER STRASSE: StaB.32 -B�UME-;32;53255;20 53255 VG HAMMER STRASSE: StaB.32 -B�UME-
00008100:000d0756;3;;1;11,14;35;;2016;7;Spitz-Ahorn;Acer platanoides*;POINT (404993.454 5755256.091);VG METZER STRASSE;32;53221;20 53221 VG METZER STRASSE
00008100:000d075e;2;;;;;;;;Unbekannt;Unbekannt;POINT (405334.98 5755717.688);VG W�RTHSTRASSE;32;53208;20 53208 VG W�RTHSTRASSE
00008100:000d0770;2;;;;;;;;Unbekannt;Unbekannt;POINT (404954.408 5754907.806);VG SAARBR�CKER STRASSE (BAUM-Objekt);32;53249;20 53249 VG SAARBR�CKER STRASSE (BAUM-Objekt)
00008100:000d0775;1;6,5;1;10;31,42;3;2017;6;Schwedische Mehlbeere;Sorbus intermedia ;POINT (404888.552 5754962.479);VG HABICHTSH�HE;32;53235;20 53235 VG HABICHTSH�HE
00008100:000d077d;1;;;;;;;;Unbekannt;Unbekannt;POINT (404549.486 5755239.136);VG OBERSCHLESIER STRASSE;32;53224;20 53224 VG OBERSCHLESIER STRASSE
00008100:000d0a1a;6;10;1;28,65;90;5;1987;36;Spitz-Ahorn;Acer platanoides*;POINT (405421.626 5755239.842);VG HAMMER STRASSE: StaB.32 -B�UME-;32;53255;20 53255 VG HAMMER STRASSE: StaB.32 -B�UME-
00008100:000d077f;2;7;1;7,32;23;1,5;2019;4;Mehlbeere;Sorbus spec.;POINT (404930.212 5755098.906);VG HABICHTSH�HE;32;53235;20 53235 VG HABICHTSH�HE
00008100:000d0789;132;7;1;14;43;3;1992;31;Spitz-Ahorn;Acer platanoides*;POINT (404976.4 5755750.017);VG SENTMARINGER WEG;32;53238;20 53238 VG SENTMARINGER WEG
00008100:000d0788;3;13;1;35,01;110;7;1992;31;Hainbuche;Carpinus betulus*;POINT (405224.886 5755694.785);VG W�RTHSTRASSE;32;53208;20 53208 VG W�RTHSTRASSE
00008100:000d07bc;5;10;1;37,24;117;4;1992;31;Schmalbl�ttrige Esche;Fraxinus angustifolia*;POINT (405152.159 5755083.891);VG ELS�SSER STRASSE;32;53228;20 53228 VG ELS�SSER STRASSE
00008100:000d07bb;6;5;1;31,83;100;2;2002;21;Schmalbl�ttrige Esche;Fraxinus angustifolia*;POINT (405153.413 5755113.281);VG ELS�SSER STRASSE;32;53228;20 53228 VG ELS�SSER STRASSE
00008100:000d06ae;3;5;1;15,28;48;2;2007;16;Eberesche;Sorbus aucuparia ;POINT (405270.037 5756305.893);VG GEISTSTRASSE (WEST);32;53218;20 53218 VG GEISTSTRASSE (WEST)
00008100:000d0b40;32;13;1;36;113,1;11;1982;41;Hainbuche;Carpinus betulus*;POINT(404989.1456347720813937485218048095703125 5754919.219870616681873798370361328125);VG SAARBR�CKER STRASSE;32;53227;20 53227 VG SAARBR�CKER STRASSE
00008100:000d02bc;39;5;1;15;47,12;3;2002;21;Linde;Tilia spec.;POINT (404399.679 5754992.538);VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.;32;53241;20 53241 VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.
00008100:000d00c2;85;1;1;0;1;1;2021;1;;Standort ohne Baum;POINT (404725.112 5755666.64);VG SENTMARINGER WEG;32;53238;20 53238 VG SENTMARINGER WEG
00008100:000d00c5;64;5;1;14;44;4;2002;21;Berg-Ahorn;Acer pseudoplatanus*;POINT (404910.885 5755736.249);VG SENTMARINGER WEG;32;53238;20 53238 VG SENTMARINGER WEG
00008100:000d00c8;101;4;1;35;111;4;1982;41;Japanische Bl��ten-Kirsche;Prunus serrulata 'Kanzan' ;POINT (404677.366 5755663.822);VG SENTMARINGER WEG;32;53238;20 53238 VG SENTMARINGER WEG
00008100:000d1658;38;18;1;62;196;12;1902;121;Spitz-Ahorn;Acer platanoides*;POINT (405171.683 5755824.143);VG SENTMARINGER WEG;32;53238;20 53238 VG SENTMARINGER WEG
00008100:000d05ae;1;15;1;80;251,33;9;1947;76;Stiel-Eiche;Quercus robur*;POINT (404781.562 5754750.148);VG RADWEG SAARBR�CKER STR. - OBERSCHLESIER STR.;32;53247;20 53247 VG RADWEG SAARBR�CKER STR. - OBERSCHLESIER STR.
00008100:000d1985;5;;;;;;;;Unbekannt;Unbekannt;POINT (404919.871 5755180.38);VG HABICHTSH�HE;32;53235;20 53235 VG HABICHTSH�HE
00008100:000d05e5;105;4;1;34;107;6;1982;41;Japanische Bl��ten-Kirsche;Prunus serrulata 'Kanzan' ;POINT (404738.164 5755644.864);VG SENTMARINGER WEG;32;53238;20 53238 VG SENTMARINGER WEG
00008100:000d05eb;5;12;2;60,48;190;3;1972;51;Feld-Ahorn;Acer campestre*;POINT (405409.428 5755336.866);VG HAMMER STRASSE: StaB.32 -B�UME-;32;53255;20 53255 VG HAMMER STRASSE: StaB.32 -B�UME-
00008100:000d05ed;7;;;;;;;;Unbekannt;Unbekannt;POINT (404845.168 5755143.973);VG GUT INSEL;32;53233;20 53233 VG GUT INSEL
00008100:000d19a1;90;13;2;117;367;17;1892;131;Robinie;Robinia pseudoacacia*;POINT (404662.3091 5755694.018);VG SENTMARINGER WEG;32;53238;20 53238 VG SENTMARINGER WEG
00008100:000d05f9;1;9;1;16,23;51;5;2007;16;Schmalbl�ttrige Esche;Fraxinus angustifolia*;POINT (404749.612 5755636.265);VG GR�NER GRUND;32;53237;20 53237 VG GR�NER GRUND
00008100:000d05fb;4;6;1;40;125,66;10;1982;41;Japanische Bl�ten-Kirsche;Prunus serrulata*;POINT (405100.37 5754900.694);VG SAARBR�CKER STRASSE (BAUM-Objekt);32;53249;20 53249 VG SAARBR�CKER STRASSE (BAUM-Objekt)
00008100:000d153e;18;14;1;15;47;6;2002;21;Gew�hnliche Platane;Platanus x hispanica ;POINT (405235.576 5755386.078);VG STRASSBURGER WEG;32;53214;20 53214 VG STRASSBURGER WEG
00008100:000d0292;1;6;1;15;47,12;4;2006;17;Stiel-Eiche;Quercus robur*;POINT (405079.979 5755614.849);VG BREISACHER WEG;32;53239;20 53239 VG BREISACHER WEG
00008100:000ffc47;16;16;1;20;62,83;7;1997;26;Feld-Ahorn;Acer campestre*;POINT(404871.0483872707118280231952667236328125 5755142.90553124807775020599365234375);�G INSELGARTEN;32;13207;20 13207 �G INSELGARTEN
00008100:000d94ee;6;9,94;;;;4,2;;;Unbekannt;Unbekannt;POINT (403992.9227 5754824.6688);VG P+R-PARKPLATZ WESELER STRASSE,P+R;32;53230;20 53230 VG P+R-PARKPLATZ WESELER STRASSE,P+R
00008100:000dc9a3;50;10;1;20;64;5;1992;31;Hainbuche;Carpinus betulus*;POINT (404882.3759 5754906.72);VG SAARBR�CKER STRASSE;32;53227;20 53227 VG SAARBR�CKER STRASSE
00008100:000dc9b0;63;22;1;75;235;12;1832;191;Stiel-Eiche;Quercus robur*;POINT (404817.0145 5754826.096);VG SAARBR�CKER STRASSE;32;53227;20 53227 VG SAARBR�CKER STRASSE
00008100:000dc9b2;18;29,08;1;91,67;288;20;1902;121;Trauben-Eiche;Quercus petraea ;POINT(404798.3875279620406217873096466064453125 5754970.94326825626194477081298828125);�G STADTPARK GUT INSEL;32;13206;20 13206 �G STADTPARK GUT INSEL
00008100:000dc9b4;17;28,8;1;146,42;460;11,91;1942;81;Ahornbl�ttrige Platane;Platanus acerifolia;POINT(404765.5999211635789833962917327880859375 5754977.2652660049498081207275390625);�G STADTPARK GUT INSEL;32;13206;20 13206 �G STADTPARK GUT INSEL
00008100:000dc9b8;67;17;1;100;314,16;20;1942;81;Gew�hnliche Platane;Platanus x hispanica ;POINT (404463.8856 5755161.556);VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.;32;53241;20 53241 VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.
00008100:000dc9b9;2;18,22;;;;10,2;;;Unbekannt;Unbekannt;POINT (404465.0253 5755152.7948);SP KAPPENBERGER DAMM;32;23202;20 23202 SP KAPPENBERGER DAMM
00008100:000dc9bc;61;13;1;50;157,08;8;1967;56;Winter-Linde;Tilia cordata*;POINT (404444.1835 5755149.104);VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.;32;53241;20 53241 VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.
00008100:000dc9bb;1;17,57;;;;4,08;;;Unbekannt;Unbekannt;POINT (404458.3622 5755147.2245);SP KAPPENBERGER DAMM;32;23202;20 23202 SP KAPPENBERGER DAMM
00008100:000dca08;3;14,04;1;60;188,5;8;1937;86;Robinie;Robinia pseudoacacia*;POINT (404371.8348 5755063.2313);VG FRANZ-HITZE-STRASSE;32;53211;20 53211 VG FRANZ-HITZE-STRASSE
00008100:000dca0c;131;20;1;91;287;12;1912;111;Unbekannt;Unbekannt;POINT (404901.7518 5755963.753);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dca02;43;11;1;35;109,96;4;1982;41;Berg-Ahorn;Acer pseudoplatanus*;POINT (404407.9471 5755026.984);VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.;32;53241;20 53241 VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.
00008100:000dca00;46;15;1;75;235,62;12;1942;81;Stiel-Eiche;Quercus robur*;POINT (404424.5927 5755036.052);VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.;32;53241;20 53241 VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.
00008100:000dca04;92;5;0;0;0;5;2017;6;Apfelbaum;Malus spec.;POINT (404936.4843 5755952.526);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dc941;2;15;1;35;109,96;7;1987;36;Winter-Linde;Tilia cordata*;POINT (404341.6288 5754740.621);VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.;32;53241;20 53241 VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.
00008100:000dc950;23;26,2;1;111,41;350;12;1872;151;Stiel-Eiche;Quercus robur*;POINT(404822.818201257498003542423248291015625 5754986.793054501526057720184326171875);�G STADTPARK GUT INSEL;32;13206;20 13206 �G STADTPARK GUT INSEL
00008100:000dc965;20;9,57;;;;4,61;;;Unbekannt;Unbekannt;POINT (404904.2362 5754991.5995);VG HABICHTSH�HE;32;53235;20 53235 VG HABICHTSH�HE
00008100:000dcc29;3;17,44;1;50;157,08;6;1977;46;H�nge-Birke, Wei�-Birke;Betula pendula*;POINT(404900.4604376683128066360950469970703125 5755193.46743942983448505401611328125);�G HABICHTSH�HE;32;13201;20 13201 �G HABICHTSH�HE
00008100:000dcc2e;217;1;1;0;1;1;2021;2;;Standort ohne Baum;POINT (404734.7167 5755891.119);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dcc37;228;1;1;0;1;1;2021;2;;Standort ohne Baum;POINT (404689.1913 5755848.49);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dcc43;21;20,01;1;74,8;235;14;1972;51;Robinie;Robinia pseudoacacia*;POINT (404748.2489 5755470.8134);�G GR�NER GRUND;32;13202;20 13202 �G GR�NER GRUND
00008100:000dcc48;10;17,52;1;50;157,08;11;1977;46;Feld-Ahorn;Acer campestre*;POINT (404603.7274 5755165.2811);MATTHIAS-CLAUDIUS-SCHULE, GUT INSEL 36;32;63201;20 63201 MATTHIAS-CLAUDIUS-SCHULE, GUT INSEL 36
00008100:000dcc52;42;16;1;42;132;11;1972;51;Vogel-Kirsche;Prunus avium ;POINT (404789.3996 5755845.909);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dc967;22;10,29;1;46,79;147;5,16;1982;40;Mehlbeere;Sorbus spec.;POINT (404897.7011 5754977.4999);VG HABICHTSH�HE;32;53235;20 53235 VG HABICHTSH�HE
00008100:000dcefb;40;16;1;39,79;125;10;1987;36;Hainbuche;Carpinus betulus*;POINT (404829.578 5755005.3134);�G STADTPARK GUT INSEL;32;13206;20 13206 �G STADTPARK GUT INSEL
00008100:000dcf03;195;13,11;;;;7,56;;;Unbekannt;Unbekannt;POINT (404726.2225 5755762.5507);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dcf12;3;6,65;;;;5,01;;;Unbekannt;Unbekannt;POINT (404706.2772 5755136.1288);KITA AM INSELBOGEN 24;32;73201;20 73201 KITA AM INSELBOGEN 24
00008100:000dcf08;8;16,05;1;40;125,66;6,46;1992;31;Spitz-Ahorn;Acer platanoides*;POINT(404710.926345820189453661441802978515625 5755120.35182964801788330078125);VG GUT INSEL;32;53233;20 53233 VG GUT INSEL
00008100:000dcf0e;4;16,95;;;;4,63;;;Unbekannt;Unbekannt;POINT (404732.6405 5755150.7948);VG FUSSWEG AN DER KITA INSELBOGEN;32;53240;20 53240 VG FUSSWEG AN DER KITA INSELBOGEN
00008100:000dcf0d;5;16,26;;;;4,49;;;Unbekannt;Unbekannt;POINT (404729.0643 5755146.4393);KITA AM INSELBOGEN 24;32;73201;20 73201 KITA AM INSELBOGEN 24
00008100:000dceb2;94;9;1;39;121;11;1952;71;Spitz-Ahorn;Acer platanoides*;POINT (404629.7802 5755709.893);VG SENTMARINGER WEG;32;53238;20 53238 VG SENTMARINGER WEG
00008100:000dceb5;3;16,03;1;53,16;167;8;1967;56;Weymouths Kiefer;Pinus strobus ;POINT(404595.2183952817576937377452850341796875 5755211.589530046097934246063232421875);MATTHIAS-CLAUDIUS-SCHULE, GUT INSEL 36;32;63201;20 63201 MATTHIAS-CLAUDIUS-SCHULE, GUT INSEL 36
00008100:000dcebb;7;11,54;1;26;81,68;9;1997;26;Kirsche;Prunus spec.;POINT (404556.7098 5755251.3837);VG OBERSCHLESIER STRASSE;32;53224;20 53224 VG OBERSCHLESIER STRASSE
00008100:000dcec1;13;9,95;;;;6,02;;;Unbekannt;Unbekannt;POINT (404711.5009 5755128.9862);VG GUT INSEL;32;53233;20 53233 VG GUT INSEL
00008100:000dcecc;79;13;1;35;109,96;8;1987;36;Stiel-Eiche;Quercus robur*;POINT (404440.8339 5755266.185);VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.;32;53241;20 53241 VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.
00008100:000dc693;13;22,58;1;132;414,69;13,93;1872;151;Stiel-Eiche;Quercus robur*;POINT (404761.0458 5754915.4442);SP GUT INSEL;32;23208;20 23208 SP GUT INSEL
00008100:000dd0aa;161;5,19;;;;2,6;;;Unbekannt;Unbekannt;POINT (404896.5604 5756019.1317);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dd0b6;172;23,57;;;;13,14;;;Unbekannt;Unbekannt;POINT (404913.0155 5756094.8202);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dd0c0;106;27,99;;;;21,08;;;Unbekannt;Unbekannt;POINT (404948.6278 5756084.8817);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dd0c8;72;8;1;47;147;7;1942;81;Spitz-Ahorn;Acer platanoides*;POINT(404960.98252014629542827606201171875 5756151.042484297417104244232177734375);VG PRINZ-EUGEN-STRASSE;32;53216;20 53216 VG PRINZ-EUGEN-STRASSE
00008100:000dd0ca;53;7;1;20;63;5;1982;41;Spitz-Ahorn;Acer platanoides*;POINT (404969.4755 5756171.685);VG PRINZ-EUGEN-STRASSE;32;53216;20 53216 VG PRINZ-EUGEN-STRASSE
00008100:000dd0cf;108;20,04;;;;8,1;;;Unbekannt;Unbekannt;POINT (404858.9862 5756028.1815);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dcecb;78;12;1;30;94,25;9;1987;36;Stiel-Eiche;Quercus robur*;POINT (404443.2391 5755256.345);VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.;32;53241;20 53241 VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.
00008100:000dced0;11;18,49;1;65;204,2;2,63;1977;46;Esche;Fraxinus spec.;POINT(404894.9367333962582051753997802734375 5755164.788392958231270313262939453125);VG GUT INSEL;32;53233;20 53233 VG GUT INSEL
00008100:000dcedd;4;19,68;;95;298,45;10,76;1922;101;Feld-Ahorn;Acer campestre*;POINT (404838.9862 5755117.202);�G INSELGARTEN;32;13207;20 13207 �G INSELGARTEN
00008100:000dceea;87;4;1;12;37,7;1;2021;2;Persischer Eisenholzbaum;Parrotia persica ;POINT(404681.4211723068146966397762298583984375 5755680.80029760487377643585205078125);VG SENTMARINGER WEG;32;53238;20 53238 VG SENTMARINGER WEG
00008100:000dcee9;231;1;1;0;1;1;2021;2;;Standort ohne Baum;POINT (404661.243 5755806.722);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dcef3;201;1;1;0;1;1;2021;2;;Standort ohne Baum;POINT (404741.0438 5755930.935);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dcef1;208;17,47;;;;7,21;;;Unbekannt;Unbekannt;POINT (404765.1679 5755673.411);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dcf13;238;1;1;0;1;1;2021;2;;Standort ohne Baum;POINT (404684.0555 5755805.644);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dcef5;210;8,76;;;;3,05;;;Unbekannt;Unbekannt;POINT (404775.8632 5755908.5585);�G PARK SENTMARING;32;13205;20 13205 �G PARK SENTMARING
00008100:000dc618;11;14,9;;;;7,93;;;Unbekannt;Unbekannt;POINT (404036.8827 5754897.1005);VG P+R-PARKPLATZ WESELER STRASSE,P+R;32;53230;20 53230 VG P+R-PARKPLATZ WESELER STRASSE,P+R
00008100:000dc61b;69;12;1;18;57;5;1977;46;Winter-Linde;Tilia cordata*;POINT (404627.7968 5754891.013);LUDWIG-ERHARD-SCHULE, GUT INSEL 41;32;63202;20 63202 LUDWIG-ERHARD-SCHULE, GUT INSEL 41
00008100:000dc61f;68;14;1;23;72;5;1977;46;Winter-Linde;Tilia cordata*;POINT (404634.1327 5754892.255);LUDWIG-ERHARD-SCHULE, GUT INSEL 41;32;63202;20 63202 LUDWIG-ERHARD-SCHULE, GUT INSEL 41
00008100:000dc621;13;6,72;;;;3,39;;;Unbekannt;Unbekannt;POINT (404042.0858 5754878.5223);VG P+R-PARKPLATZ WESELER STRASSE,P+R;32;53230;20 53230 VG P+R-PARKPLATZ WESELER STRASSE,P+R
00008100:000dc625;16;8,74;;;;4,57;;;Unbekannt;Unbekannt;POINT (404038.6161 5754881.8397);VG P+R-PARKPLATZ WESELER STRASSE,P+R;32;53230;20 53230 VG P+R-PARKPLATZ WESELER STRASSE,P+R
00008100:000dc627;83;1;0;0;0;1;2021;2;;Standort ohne Baum;POINT (404544.5272 5754910.919);LUDWIG-ERHARD-SCHULE, GUT INSEL 41;32;63202;20 63202 LUDWIG-ERHARD-SCHULE, GUT INSEL 41
00008100:000dc62c;1;8,88;;;;3,04;;;Unbekannt;Unbekannt;POINT (404540.2284 5754921.8495);WEG WESTLICH LUDWIG-ERHARD-SCHULE;32;33201;20 33201 WEG WESTLICH LUDWIG-ERHARD-SCHULE
00008100:000dc631;2;9,53;;;;3,75;;;Unbekannt;Unbekannt;POINT (404549.2538 5754974.3554);WEG WESTLICH LUDWIG-ERHARD-SCHULE;32;33201;20 33201 WEG WESTLICH LUDWIG-ERHARD-SCHULE
00008100:000dc62f;116;1;0;0;0;1;2021;2;;Standort ohne Baum;POINT (404571.9042 5754928.131);LUDWIG-ERHARD-SCHULE, GUT INSEL 41;32;63202;20 63202 LUDWIG-ERHARD-SCHULE, GUT INSEL 41
00008100:000dc636;85;1;0;0;0;1;2021;2;;Standort ohne Baum;POINT (404558.7352 5754962.869);LUDWIG-ERHARD-SCHULE, GUT INSEL 41;32;63202;20 63202 LUDWIG-ERHARD-SCHULE, GUT INSEL 41
00008100:000dc634;86;1;0;0;0;1;2021;2;;Standort ohne Baum;POINT (404556.6024 5754960.216);LUDWIG-ERHARD-SCHULE, GUT INSEL 41;32;63202;20 63202 LUDWIG-ERHARD-SCHULE, GUT INSEL 41
00008100:000dc63a;61;14;1;36,61;115;7;1977;46;Winter-Linde;Tilia cordata*;POINT (404645.1757 5754911.019);LUDWIG-ERHARD-SCHULE, GUT INSEL 41;32;63202;20 63202 LUDWIG-ERHARD-SCHULE, GUT INSEL 41
00008100:000dc643;20;10,12;;;;3,58;;;Unbekannt;Unbekannt;POINT (404018.6737 5754878.6405);VG P+R-PARKPLATZ WESELER STRASSE,P+R;32;53230;20 53230 VG P+R-PARKPLATZ WESELER STRASSE,P+R
00008100:000dc641;62;1;1;35;109,96;11;1992;31;Gew�hnliche Platane;Platanus x hispanica ;POINT (404642.6874 5754935.801);LUDWIG-ERHARD-SCHULE, GUT INSEL 41;32;63202;20 63202 LUDWIG-ERHARD-SCHULE, GUT INSEL 41
00008100:000dc654;8;17,17;1;50;157,08;10,43;1972;51;Hainbuche;Carpinus betulus*;POINT (404473.8124 5754789.6815);VG OBERSCHLESIER STRASSE;32;53224;20 53224 VG OBERSCHLESIER STRASSE
00008100:000dc731;1;15;1;35;109,96;6;1982;41;Winter-Linde;Tilia cordata*;POINT (404333.1825 5754743.527);VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.;32;53241;20 53241 VG KAPPENBERGER DAMM ZW. INSELB.U.UMGEH.
00008100:000dc560;4;10,37;;;;3,34;;;Unbekannt;Unbekannt;POINT (404527.3905 5754715.7636);VG RADWEG SAARBR�CKER STR. - OBERSCHLESIER STR.;32;53247;20 53247 VG RADWEG SAARBR�CKER STR. - OBERSCHLESIER STR.
00008100:000dc573;4;4,19;;;;3,06;;;Unbekannt;Unbekannt;POINT (404737.6591 5754751.9891);VG PARKPLATZ KLEING�RTEN RONNEBERG;32;53244;20 53244 VG PARKPLATZ KLEING�RTEN RONNEBERG
00008100:000dc58b;7;17,96;;18;56,55;6;1997;26;Stiel-Eiche;Quercus robur*;POINT(404765.7199982316815294325351715087890625 5754742.715254434384405612945556640625);VG RADWEG SAARBR�CKER STR. - OBERSCHLESIER STR.;32;53247;20 53247 VG RADWEG SAARBR�CKER STR. - OBERSCHLESIER STR.
00008100:000dc58c;10;14;1;26;81,68;6,56;1982;41;Feld-Ahorn;Acer campestre*;POINT (404778.286 5754739.1913);VG RADWEG SAARBR�CKER STR. - OBERSCHLESIER STR.;32;53247;20 53247 VG RADWEG SAARBR�CKER STR. - OBERSCHLESIER STR.
00008100:000dc58f;11;23,49;1;100;314,16;12,25;1922;101;Stiel-Eiche;Quercus robur*;POINT (404779.6112 5754759.6503);VG RADWEG SAARBR�CKER STR. - OBERSCHLESIER STR.;32;53247;20 53247 VG RADWEG SAARBR�CKER STR. - OBERSCHLESIER STR.
